OBJECTID,ROADNAME,MAP_TYPE,MPWBIKEID,SHAPELEN
1299,S 23RD ST,3,1362,345.795284044576
1300,S 23RD ST,3,1363,350.263709874798
1301,S 23RD ST,3,1364,344.453219634008
1302,S 23RD ST,3,1365,298.032866951916
1303,S 23RD ST,3,1366,175.607531489127
1304,S 23RD ST,3,1367,315.479206764364
1305,S 23RD ST,3,1368,370.385826101179
1306,WATHEN LN,3,1369,223.849752282955
1307,WATHEN LN,3,1370,1591.09745684596
1308,HOMEVIEW DR,3,1371,859.109027207309
1309,S 23RD ST,3,1372,344.16050548408
1310,7TH STREET RD,4,1373,167.656467648234
1311,WATHEN LN,3,1374,316.383651364052
1312,WATHEN LN,3,1375,634.00059854286
1313,HOMEVIEW DR,3,1376,641.503129239287
1314,DIXIE HWY,4,1377,125.289119660512
1315,WATHEN LN,3,1378,790.980273895632
1316,HARDESTY AVE,3,1379,880.143134735519
1317,S 23RD ST,3,1380,199.595569277336
1318,WILSON AVE,4,1381,55.5750519478464
1319,BECKER CT,3,1382,47.6288067738344
1320,S 23RD ST,3,1383,230.608593155298
1321,ILLINOIS AVE,3,1384,862.851471437297
1322,ILLINOIS AVE,3,1385,194.142132027898
1323,AUDUBON PKY,3,1386,396.872183355945
1324,NIGHTINGALE RD,3,1387,972.153247950138
1325,AUDUBON PKY,3,1388,286.873482325451
1326,ILLINOIS AVE,3,1389,423.631138998819
1327,ILLINOIS AVE,3,1390,383.245271121098
1328,NIGHTINGALE RD,3,1391,512.122093725152
1329,ILLINOIS AVE,3,1392,635.381140036394
1330,AUDUBON PKY,3,1393,180.766597022384
1331,ILLINOIS AVE,3,1394,717.014742311112
1332,AUDUBON PKY,3,1395,83.547533593373
1333,ILLINOIS AVE,3,1396,727.210973630323
1334,AUDUBON PKY,3,1397,353.195003277676
1335,ILLINOIS AVE,3,1398,1135.47118202401
1336,ILLINOIS AVE,3,1399,437.560564906299
1337,AUDUBON PKY,3,1400,346.070972389216
1338,AUDUBON PKY,3,1401,410.996722961679
1339,AUDUBON PKY,3,1402,454.619030101123
1340,AUDUBON PKY,3,1403,259.944666044668
1341,AUDUBON PKY,3,1404,410.028157016067
1342,AUDUBON PKY,3,1405,347.158747672099
1343,AUDUBON PKY,3,1406,456.765411000459
1344,AUDUBON PKY,3,1407,481.134981757682
1345,AUDUBON PKY,3,1408,348.767778973554
1346,AUDUBON PKY,3,1409,347.321886387345
1347,AUDUBON PKY,3,1410,351.632463338588
1348,AUDUBON PKY,3,1411,355.471795237615
1349,NORRIS PL,4,1412,289.669912498665
1350,E WASHINGTON ST,3,1413,510.769355303571
1351,GRINSTEAD DR,4,1414,433.027126742729
1352,GRINSTEAD DR,2,1415,197.64136948118
1353,ROSEDALE AVE,3,1416,349.53449606695
1354,ROSEDALE AVE,3,1417,277.687728889656
1355,ROSEDALE AVE,3,1418,372.79129343584
1356,PRINCETON DR,3,1419,592.665028786641
1357,PRINCETON DR,3,1420,463.412242907069
1358,PRINCETON DR,3,1421,375.580189054471
1359,BOULEVARD NAPOLEON,3,1422,555.134123996339
1360,SHADY LN,3,1423,780.139608535607
1361,W MADISON ST,3,1424,478.135020969376
1362,COOPER CHAPEL RD,2,1425,456.434272740783
1363,COOPER CHAPEL RD,2,1426,813.412497197156
1364,COOPER CHAPEL RD,2,1427,1409.56727906883
1365,SMYRNA PKY,2,1428,1181.35944001692
1366,COOPER CHAPEL RD,2,1429,1121.51967531696
1367,COOPER CHAPEL RD,2,1430,1094.38327612281
1368,COOPER CHAPEL RD,2,1431,1638.96431754972
1369,SMYRNA CONNECTOR,2,1432,360.163036469865
1370,COOPER CHAPEL RD,2,1433,447.115207268211
1371,COOPER CHAPEL RD,2,1434,700.47168488741
1372,BROOK STREET CONNECTOR,2,1435,3187.21941990105
1373,UNIVERSITY BLVD,2,1436,584.840732215408
1374,W MUHAMMAD ALI BLVD,2,1437,479.601415968784
1375,S 7TH ST,4,1438,285.315778202528
1376,E MAIN ST,4,1439,586.287554922103
1377,E MAIN ST,2,1440,589.052175007551
1378,E MAIN ST,4,1441,583.728508368161
1379,E MAIN ST,2,1442,584.137339845561
1380,E MAIN ST,2,1443,585.277462296124
1381,ELLISON AVE,3,1445,837.981385778876
1382,HIGHLAND AVE,3,1446,556.502851428574
1383,EDWARD ST,3,1447,506.244371111158
1384,EDWARD ST,3,1448,476.49187080108
1385,E MARKET ST,2,1449,480.681635075459
1386,W MARKET ST,4,1450,502.279562419307
1387,E BARBEE AVE,3,1451,1213.06501630291
1388,N BARBEE WAY,3,1452,74.8665526842255
1389,E MAIN ST,4,1453,583.502011738828
1390,S 15TH ST,2,1454,86.1913878878989
1391,S 15TH ST,2,1455,396.249609448294
1392,S 15TH ST,2,1456,43.3208724123689
1393,S 15TH ST,2,1457,420.256346911532
1394,S 15TH ST,2,1458,389.090115712292
1395,S 15TH ST,2,1459,766.773656219345
1396,S 15TH ST,2,1460,433.077556720395
1397,TAYLORSVILLE RD,2,1461,467.499954051327
1398,TAYLORSVILLE RD,2,1462,449.905226777184
1399,TAYLORSVILLE RD,2,1463,430.300561020839
1400,TAYLORSVILLE RD,2,1464,490.487706124391
1401,TAYLORSVILLE RD,2,1465,532.293508061177
1402,TAYLORSVILLE RD,2,1466,357.545301118158
1403,TAYLORSVILLE RD,4,1467,1055.55980458923
1404,TAYLORSVILLE RD,4,1468,688.37093255313
1405,TAYLORSVILLE RD,2,1469,501.687502572381
1406,CHAMBERLAIN LN,2,1470,1942.19975171281
1407,CAMP GROUND RD,2,1471,1148.12200983234
1408,W HILL ST,4,1472,344.561728081141
1409,W HILL ST,4,1473,1095.34657106985
1410,S 6TH ST,4,1474,263.297630436396
1411,S 8TH ST,2,1475,578.835944941166
1412,S 24TH ST,3,1476,10.3286488225088
1413,E KENTUCKY ST,2,1477,121.32539078404
1414,CAMP GROUND RD,2,1478,1305.50269510603
1415,EASTERN PKY,5,1479,224.494365223391
1416,EASTERN PKY,5,1480,805.122862483328
1417,EASTERN PKY,5,1481,693.546018776175
1418,Bluegrass Pkwy- Bike/Ped Trail,5,1482,8751.14603647531
1419,Gaslight Square- Bike/ Ped Trail,5,1483,2010.42286732566
1420,MERIONETH DR,2,1484,598.541237981073
1421,MERIONETH DR,2,1485,319.88808852656
1422,S FLOYD ST,2,1486,69.5337021386759
1423,S FLOYD ST,2,1487,236.914881045429
1424,S FLOYD ST,2,1488,223.191394623484
1425,S FLOYD ST,2,1489,404.497513921673
1426,S FLOYD ST,2,1490,247.868900494839
1427,S FLOYD ST,2,1491,400.870481183153
1428,S FLOYD ST,2,1492,241.353123009705
1429,S FLOYD ST,2,1493,192.294672177457
1430,S FLOYD ST,2,1494,241.866054773709
1431,S FLOYD ST,2,1495,715.58222196123
1432,S FLOYD ST,2,1496,276.835069065713
1433,S FLOYD ST,4,1497,69.3137333541413
1434,S FLOYD ST,4,1498,236.914881045429
1435,S FLOYD ST,4,1499,223.191394623484
1436,S FLOYD ST,4,1500,404.330193763241
1437,S FLOYD ST,4,1501,247.82844244214
1438,S FLOYD ST,4,1502,400.870481183153
1439,S FLOYD ST,4,1503,241.353123009705
1440,S FLOYD ST,4,1504,192.294672177457
1441,S FLOYD ST,4,1505,241.866054773709
1442,S FLOYD ST,4,1506,715.295097282305
1443,S FLOYD ST,4,1507,276.827734962199
1444,S BROOK ST,2,1508,197.606596345587
1445,S BROOK ST,2,1509,197.478113314185
1446,S BROOK ST,2,1510,420.430138364468
1447,S BROOK ST,2,1511,1010.32220487173
1448,S BROOK ST,2,1512,649.548435608067
1449,S BROOK ST,2,1513,418.64850564966
1450,S BROOK ST,2,1514,527.414053079747
1451,S BROOK ST,2,1515,166.419857989183
1452,S BROOK ST,2,1516,558.477988302595
1453,S BROOK ST,4,1517,197.515002962455
1454,S BROOK ST,4,1518,197.478113314185
1455,S BROOK ST,4,1519,420.430138364468
1456,S BROOK ST,4,1520,1010.32220487173
1457,S BROOK ST,4,1521,650.177899841763
1458,S BROOK ST,4,1522,418.878740792606
1459,S BROOK ST,4,1523,527.022067384282
1460,S BROOK ST,4,1524,166.419857989183
1461,S BROOK ST,4,1525,558.40430645299
1462,S 1ST ST,2,1526,205.839674799467
1463,S 1ST ST,2,1527,653.07691678726
1464,S 1ST ST,2,1528,793.363131061694
1465,S 1ST ST,2,1529,528.629552824486
1466,S 1ST ST,2,1530,560.610718348277
1467,S 1ST ST,2,1531,556.711608715004
1468,S 1ST ST,2,1532,852.099349523573
1469,S 1ST ST,4,1533,205.839674799467
1470,S 1ST ST,4,1534,653.038402624021
1471,S 1ST ST,4,1535,793.543825905189
1472,S 1ST ST,4,1536,528.490714369728
1473,S 1ST ST,4,1537,560.610718348277
1474,S 1ST ST,4,1538,556.801155982573
1475,S 1ST ST,4,1539,851.866520449622
1476,Northwestern Pkwy (Detour),4,1540,6269.03633587984
1477,Bank St. ( Detour),4,1541,5902.12593302819
1478,MET,5,1542,3207.79290129107
1479,Joe Creason Park,5,1543,3561.22734775088
1480,Joe Creason Park,5,1544,975.588518787036
1481,Joe Creason Park,5,1545,180.570361800227
1482,Joe Creason Park,5,1546,73.1663879498276
1483,Wyandotte Park,5,1547,1346.30120950435
1484,Wyandotte Park,5,1548,1477.19037988613
1485,Wyandotte Park,5,1549,626.538077142553
1486,Wyandotte Park,5,1550,381.80835613913
1487,Wyandotte Park,5,1551,311.350478687394
1488,Wyandotte Park,5,1552,91.6584237834252
1489,Iroquois Park - Uppill Road,5,1553,6251.24875919148
1490,Iroquois Park- Toppill Road,5,1554,7156.32418948547
1491,OLMSTED DR,2,1555,1093.42589845099
1492,RUNDILL RD,5,1556,4247.48982473363
1493,WINKLER AVE,2,1557,433.271802375185
1494,WINKLER AVE,2,1558,209.677049188461
1495,WINKLER AVE,2,1559,478.866397435143
1496,WINKLER AVE,2,1560,481.495900869619
